"Water Temperature","Type","Nid","Delta"
"40","Data: Water Quality","3995",""
"40","Data: Water Quality","3995","1"
"50","Data: Water Quality","3995","2"
"","Data: Water Quality","3995","3"
"15.7","Data: Water Quality","4274",""
"","Data: Water Quality","4274","1"
"","Data: Water Quality","4274","2"
"","Data: Water Quality","4274","3"
"25","Data: Water Quality","4315",""
"","Data: Water Quality","4315","1"
"","Data: Water Quality","4315","2"
"","Data: Water Quality","4315","3"
"10","Data: Water Quality","4325",""
"","Data: Water Quality","4325","1"
"","Data: Water Quality","4325","2"
"","Data: Water Quality","4325","3"
"40","Data: Water Quality","4437",""
"","Data: Water Quality","4437","1"
"","Data: Water Quality","4437","2"
"","Data: Water Quality","4437","3"
"40","Data: Water Quality","4471",""
"","Data: Water Quality","4471","1"
"","Data: Water Quality","4471","2"
"","Data: Water Quality","4471","3"
"5.9","Data: Water Quality","4484",""
"5.9","Data: Water Quality","4484","1"
"5","Data: Water Quality","4484","2"
"","Data: Water Quality","4484","3"
"5","Data: Water Quality","4485",""
"4.9","Data: Water Quality","4485","1"
"","Data: Water Quality","4485","2"
"","Data: Water Quality","4485","3"
"39","Data: Water Quality","4549",""
"38.5","Data: Water Quality","4549","1"
"39.8","Data: Water Quality","4549","2"
"","Data: Water Quality","4549","3"
"7.2","Data: Water Quality","4561",""
"7.1","Data: Water Quality","4561","1"
"7","Data: Water Quality","4561","2"
"5","Data: Water Quality","4561","3"
"8","Data: Water Quality","4583",""
"7.6","Data: Water Quality","4583","1"
"7.7","Data: Water Quality","4583","2"
"","Data: Water Quality","4583","3"
"5.7","Data: Water Quality","4590",""
"5.7","Data: Water Quality","4590","1"
"5.6","Data: Water Quality","4590","2"
"7","Data: Water Quality","4590","3"
"5.6","Data: Water Quality","4591",""
"5.6","Data: Water Quality","4591","1"
"5.7","Data: Water Quality","4591","2"
"","Data: Water Quality","4591","3"
"50","Data: Water Quality","4601",""
"51","Data: Water Quality","4601","1"
"51","Data: Water Quality","4601","2"
"51","Data: Water Quality","4601","3"
"9.6","Data: Water Quality","4622",""
"9.6","Data: Water Quality","4622","1"
"9.5","Data: Water Quality","4622","2"
"","Data: Water Quality","4622","3"
"8.9","Data: Water Quality","4627",""
"9","Data: Water Quality","4627","1"
"7","Data: Water Quality","4627","2"
"","Data: Water Quality","4627","3"
"10.4","Data: Water Quality","4636",""
"10.5","Data: Water Quality","4636","1"
"10.5","Data: Water Quality","4636","2"
"","Data: Water Quality","4636","3"
"8.8","Data: Water Quality","4640",""
"9","Data: Water Quality","4640","1"
"9","Data: Water Quality","4640","2"
"","Data: Water Quality","4640","3"
"43","Data: Water Quality","4647",""
"44","Data: Water Quality","4647","1"
"","Data: Water Quality","4647","2"
"","Data: Water Quality","4647","3"
